# macsyfinder 20220729.dev
# models : TFF-SF-None
# /home/bneron/Projects/GEM/MacSyFinder/MacSyFinder/py39/bin/macsyfinder --sequence-db data/base/GCF_000006745.fasta --models TFF-SF all --models-dir data/models/ --db-type gembase -w 4
# Rejected candidates found:
candidate_id	replicon	model_fqn	hit_id	hit_pos	gene_name	function	reasons
GCF_000006745_T4P_12	GCF_000006745	TFF-SF/T4P	GCF_000006745_007840	784	T4P_pilW	T4P_pilW	The quorum of mandatory genes required (4) is not reached: 2
GCF_000006745_T4P_12	GCF_000006745	TFF-SF/T4P	GCF_000006745_007850	785	T4P_pilX	T4P_pilX	The quorum of mandatory genes required (4) is not reached: 2
GCF_000006745_T4P_12	GCF_000006745	TFF-SF/T4P	GCF_000006745_007860	786	T4P_pilV	T4P_pilV	The quorum of mandatory genes required (4) is not reached: 2

GCF_000006745_T4P_9	GCF_000006745	TFF-SF/T4P	GCF_000006745_007820	782	T4P_pilE	T4P_pilE	The quorum of mandatory genes required (4) is not reached: 1
GCF_000006745_T4P_9	GCF_000006745	TFF-SF/T4P	GCF_000006745_007830	783	T4P_fimT	T4P_fimT	The quorum of mandatory genes required (4) is not reached: 1
GCF_000006745_T4P_9	GCF_000006745	TFF-SF/T4P	GCF_000006745_007840	784	T4P_pilW	T4P_pilW	The quorum of mandatory genes required (4) is not reached: 1
GCF_000006745_T4P_9	GCF_000006745	TFF-SF/T4P	GCF_000006745_007850	785	T4P_pilX	T4P_pilX	The quorum of mandatory genes required (4) is not reached: 1
GCF_000006745_T4P_9	GCF_000006745	TFF-SF/T4P	GCF_000006745_007860	786	T4P_pilV	T4P_pilV	The quorum of mandatory genes required (4) is not reached: 1

GCF_000006745_T4P_10	GCF_000006745	TFF-SF/T4P	GCF_000006745_021950	2195	T4P_pilA	T4P_pilA	The quorum of mandatory genes required (4) is not reached: 3/The quorum of genes required (5) is not reached: 4
GCF_000006745_T4P_10	GCF_000006745	TFF-SF/T4P	GCF_000006745_021960	2196	T4P_pilB	T4P_pilB	The quorum of mandatory genes required (4) is not reached: 3/The quorum of genes required (5) is not reached: 4
GCF_000006745_T4P_10	GCF_000006745	TFF-SF/T4P	GCF_000006745_021970	2197	T4P_pilC	T4P_pilC	The quorum of mandatory genes required (4) is not reached: 3/The quorum of genes required (5) is not reached: 4
GCF_000006745_T4P_10	GCF_000006745	TFF-SF/T4P	GCF_000006745_021980	2198	T4P_pilD	T4P_pilD	The quorum of mandatory genes required (4) is not reached: 3/The quorum of genes required (5) is not reached: 4

GCF_000006745_T4P_11	GCF_000006745	TFF-SF/T4P	GCF_000006745_023840	2384	MSH_mshM	MSH_mshM	The quorum of mandatory genes required (4) is not reached: 3
GCF_000006745_T4P_11	GCF_000006745	TFF-SF/T4P	GCF_000006745_023870	2387	T4P_pilQ	T4P_pilQ	The quorum of mandatory genes required (4) is not reached: 3
GCF_000006745_T4P_11	GCF_000006745	TFF-SF/T4P	GCF_000006745_023880	2388	T4P_pilP	T4P_pilP	The quorum of mandatory genes required (4) is not reached: 3
GCF_000006745_T4P_11	GCF_000006745	TFF-SF/T4P	GCF_000006745_023890	2389	T4P_pilO	T4P_pilO	The quorum of mandatory genes required (4) is not reached: 3
GCF_000006745_T4P_11	GCF_000006745	TFF-SF/T4P	GCF_000006745_023900	2390	T4P_pilN	T4P_pilN	The quorum of mandatory genes required (4) is not reached: 3
GCF_000006745_T4P_11	GCF_000006745	TFF-SF/T4P	GCF_000006745_023910	2391	T4P_pilM	T4P_pilM	The quorum of mandatory genes required (4) is not reached: 3

